qS1,qS2B,qS2,x,y,z,t,set_label
29.170927,880.2754,2450.4084,1.3601167,-392.36908,-524.7081099534284,2020-11-28 16:25:10.792881428+00:00,run0_set1
34.861824,510.9322,1769.8976,-169.28802,-70.087616,274.127266381214,2020-11-28 16:41:52.496026112+00:00,run0_set1
25.282753,521.5064,1802.746,172.23207,-96.519684,-232.1237404817648,2020-11-28 20:17:45.902380984+00:00,run0_set1
13.510272,602.7261,2051.2385,130.77742,-44.54514,-484.89241920151176,2020-11-28 21:20:33.000989168+00:00,run0_set1
6.732988,387.8159,1240.744,130.87297,273.87238,-239.07587528221143,2020-11-28 22:50:20.191492900+00:00,run0_set1
2.4951768,184.27669,588.9234,-106.81028,387.39838,56.28577986251344,2020-11-28 23:01:13.975333168+00:00,run0_set1
19.84639,604.1231,2328.7744,342.3685,-172.67343,434.91248149231393,2020-11-29 00:48:56.274429268+00:00,run0_set1
44.079124,620.95636,1979.496,317.47,-327.21765,132.27754930657449,2020-11-29 05:46:46.540069504+00:00,run0_set1
26.429718,857.54065,2746.2297,-258.08246,-351.8872,123.69591498917111,2020-11-29 07:35:08.831721464+00:00,run0_set1
36.839394,796.02686,2707.5166,86.92121,443.35696,87.16301158528415,2020-11-29 13:23:27.312028788+00:00,run0_set1
30.547071,714.9453,2380.1492,127.3998,108.323326,295.7805793054452,2020-11-29 14:02:34.256423444+00:00,run0_set1
15.076878,387.64075,1363.0817,206.71706,17.218891,98.75386763838122,2020-11-29 14:08:35.707991208+00:00,run0_set1
70.30676,1065.088,3287.841,-266.42145,165.94351,-365.986531091905,2020-11-29 16:38:16.494488972+00:00,run0_set1
54.480724,795.3593,2644.2617,325.57916,-109.03837,-14.335777669825347,2020-11-29 19:14:40.655505196+00:00,run0_set1
45.00724,541.57513,1897.1736,-161.56374,-189.84483,442.50690077389686,2020-11-29 20:04:16.456573764+00:00,run0_set1
74.76299,1431.2886,4419.412,-10.513885,191.12616,-508.38932646974513,2020-11-29 20:10:30.333917776+00:00,run0_set1
124.55825,1413.9625,4202.657,-41.64208,-306.7837,-457.38718100470624,2020-11-29 21:05:52.494123816+00:00,run0_set1
55.95168,911.7523,2892.9402,427.71216,-73.06,175.04893808742338,2020-11-29 21:06:58.989900284+00:00,run0_set1
4.3628287,240.87459,1042.4757,470.0837,-141.42372,-255.8050071843984,2020-11-29 22:05:06.066349252+00:00,run0_set1
56.80107,859.9242,2622.7341,-104.63631,358.14993,-340.61629408702447,2020-11-30 01:22:17.209660696+00:00,run0_set1
4.3345857,345.18027,1054.4386,-321.3846,214.27539,-242.51923375052502,2020-11-30 06:34:15.275741352+00:00,run0_set1
8.9849615,281.31815,1025.5548,-300.43774,-330.28348,289.94054818992885,2020-11-30 09:28:12.013076580+00:00,run0_set1
79.66409,977.75214,2931.0496,99.64651,-85.67245,-538.8799980881286,2020-11-30 09:52:34.132365716+00:00,run0_set1
77.83556,1220.0599,4085.594,148.52301,-274.71643,-83.98796140193076,2020-11-30 10:12:38.947632400+00:00,run0_set1
15.721164,527.7411,1620.4761,132.56012,-114.68058,-543.0489001369849,2020-11-30 10:16:05.934117760+00:00,run0_set1
20.507435,577.4669,1854.8834,-76.761734,-112.66058,73.8891323084689,2020-11-30 11:31:16.071335424+00:00,run0_set1
22.610508,433.64072,1212.2203,70.812584,335.82974,-94.60944365479452,2020-11-30 11:35:20.956256643+00:00,run0_set1
60.506474,1004.29987,3318.8435,335.70004,-313.5089,-271.4934003440035,2020-11-30 12:46:38.368098792+00:00,run0_set1
